Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,21 Sexe candidat,21 Nom candidat,21 Prénom candidat,21 Etiquette liste,21 nuance,21 voix,21 Accès second tour,22 Sexe candidat,22 Nom candidat,22 Prénom candidat,22 Etiquette liste,22 nuance,22 voix,22 Accès second tour,23 Sexe candidat,23 Nom candidat,23 Prénom candidat,23 Etiquette liste,23 nuance,23 voix,23 Accès second tour,24 Sexe candidat,24 Nom candidat,24 Prénom candidat,24 Etiquette liste,24 nuance,24 voix,24 Accès second tour,25 Sexe candidat,25 Nom candidat,25 Prénom candidat,25 Etiquette liste,25 nuance,25 voix,25 Accès second tour,26 Sexe candidat,26 Nom candidat,26 Prénom candidat,26 Etiquette liste,26 nuance,26 voix,26 Accès second tour,,,,,,,,
1,AIN,1,80534,51255,50358,897,"63,64%",M,BOULME,J.MICHEL,PARTI DES TRAVAILLEURS,EXG,191,N,M,LAHY,ERIC,LUTTE OUVRIERE,EXG,414,N,M,COTTON,J.PIERRE,LES ALTERNATIFS,EXG,597,N,F,GUENARD-GERBAUD,CAROLE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,713,N,F,FAVIER,NOELLE,PARTI COMMUNISTE FRANCAIS,COM,737,N,M,GODIN,ANDRE,PARTI SOCIALISTE,SOC,16734,O,F,DURAND,BEATRICE,POLE REPUBLICAIN,DVG,555,N,M,SOLMONT,LEO,GENERATION ECOLOGIE LES BLEUS,ECO,216,N,M,FAVRE,BERNARD,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,627,N,M,BERTRAND,J.MICHEL,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,21397,O,M,LE MAOUT,HERVE,MOUVEMENT POUR LA FRANCE,DVD,803,N,F,BENOISTON,ARMELLE,FRONT NATIONAL,FRN,5630,N,F,VEILLEROT,ANNICK,MOUVEMENT NATIONAL REPUBLICAIN,EXD,781,N,F,BESSON,M.FRANCE,CHASSE PECHE NATURE ET TRADITIONS,DIV,899,N,M,BOVIS,OLIVIER,PARTI FEDERALISTE,DIV,64,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,2,83249,51480,50539,941,"61,84%",M,LARGERON,GUY,LUTTE OUVRIERE,EXG,658,N,M,ECKEL,DIDIER,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,462,N,F,FERRI,MYLENE,PARTI COMMUNISTE FRANCAIS,COM,1684,N,F,DRUT-GORJU,ELIANE,PARTI SOCIALISTE,SOC,10439,O,M,CAVET,ALAIN,POLE REPUBLICAIN,DVG,1254,N,M,GILBERT,ERIC,LES VERTS,ECO,2043,N,F,KALLACHE,CATHERINE,GENERATION ECOLOGIE LES BLEUS,ECO,233,N,F,GRELIER,BERNADETTE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,553,N,M,GUICHON,LUCIEN,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20791,O,F,PIN,FABIENNE,MOUVEMENT POUR LA FRANCE,DVD,798,N,F,GIRAULT,LYDIA,FRONT NATIONAL,FRN,8831,N,M,CLAVEL,ANDRE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,1810,N,M,BARATAY,DENIS,CHASSE PECHE NATURE ET TRADITIONS,DIV,800,N,M,DUCHESNE,JULIEN,PARTI FEDERALISTE,DIV,183,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,3,77413,47487,46285,1202,"61,34%",F,SOLARI-VINCENSINI,COSTANZA,PARTI DES TRAVAILLEURS,EXG,286,N,F,CROZET,SYLVIE,LUTTE OUVRIERE,EXG,671,N,M,MERLO,J.PIERRE,PARTI COMMUNISTE FRANCAIS,COM,1556,N,M,BERTRAND,HUBERT,PARTI RADICAL DE GAUCHE,PRG,8721,O,M,VIRARD,PHILIPPE,POLE REPUBLICAIN,DVG,3208,N,M,PASQUALIN,ALAIN,LES VERTS,ECO,1945,N,F,RICHARD,GINETTE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,871,N,M,BLANC,ETIENNE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20247,O,M,WYSSA,OLIVIER,FRONT NATIONAL,FRN,6169,N,M,FERNANDEZ,PATRICK,MOUVEMENT NATIONAL REPUBLICAIN,EXD,476,N,M,BETTANT,GERARD,CHASSE PECHE NATURE ET TRADITIONS,DIV,1662,N,F,ROSSET,A.MARIE,REGIONS ET PEUPLES SOLIDAIRES,DIV,141,N,F,HERVE,DANIELE,GIP - DEMOCRATIE ACTIVE,DIV,92,N,F,ALLENBACH,ELISA,PARTI FEDERALISTE,DIV,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,4,98271,62404,61332,1072,"63,5%",F,DRACOS,ELECTRE,LUTTE OUVRIERE,EXG,492,N,F,BATAILLARD,CHRISTIANE,"ALTERNATIFS (SOLID., ECOLO., GAUCHE ALT)",EXG,225,N,M,MORTEL,J.FRANCOIS,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,832,N,F,BURGAT,JACQUELINE,PARTI COMMUNISTE FRANCAIS,COM,733,N,M,RAYMOND,MICHEL,PARTI SOCIALISTE,SOC,15110,O,F,VIAL,DOMINIQUE,POLE REPUBLICAIN,DVG,844,N,F,PARTENSKY,ANNE,LES VERTS,ECO,956,N,F,BENSMAINE,HAMIDA,GENERATION ECOLOGIE LES BLEUS,ECO,210,N,M,LEBRETON,PHILIPPE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,624,N,M,VOISIN,MICHEL,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,28045,O,F,LEVEQUE,MICHELE,MOUVEMENT POUR LA FRANCE,DVD,512,N,M,DOMMANGET,GILLES,RASSEMBLEMENT POUR LA FRANCE,DVD,667,N,M,LACHEISSERIE DE,J.LOUP,FRONT NATIONAL,FRN,10102,N,F,JOUVE,RENEE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,551,N,F,MANDRAS,M.FRANCOISE,CHASSE PECHE NATURE ET TRADITIONS,DIV,1325,N,M,DAMIEN,MARCEL,GIP - DEMOCRATIE ACTIVE,DIV,29,N,F,PRETRE,CHRISTELLE,PARTI FEDERALISTE,DIV,75,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,1,70129,44478,43494,984,"63,42%",M,PERNELLE,J.LOUP,LUTTE OUVRIERE,EXG,1099,N,M,VACHETTA,THOMAS,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,892,N,M,MARISSAL,MARC,PARTI COMMUNISTE FRANCAIS,COM,1295,N,M,DOSIERE,RENE,PARTI SOCIALISTE,SOC,14231,O,M,MIDELET,ALAIN,POLE REPUBLICAIN,DVG,900,N,F,ARRIBAS,CATHERINE,LES VERTS,ECO,0,N,F,FONTAINE,ELIZABETH,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,850,N,M,MALPEZZI,PHILIPPE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,7888,N,F,ANTHOINE,M.ANGELIQUE,MOUVEMENT POUR LA FRANCE,DVD,274,N,F,FOURNIER,A.MARIE,FRONT NATIONAL,FRN,6003,N,F,CAMU,CHRISTELLE,SANS ETIQUETTE,EXD,325,N,M,LAMANT,J.CLAUDE,GAULLISTE,DIV,8619,O,F,LEBEL,BEATRICE,CHASSE PECHE NATURE ET TRADITIONS,DIV,1118,N,M,DEVAUGERME,XAVIER,PARTI DES SOCIOPROFESSIONNELS,DIV,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,2,73010,47915,47054,861,"65,63%",M,ROGER,BERNARD,PARTI DES TRAVAILLEURS,EXG,359,N,F,ZANDITENAS,ANNE,LUTTE OUVRIERE,EXG,612,N,M,GODIN,OLIVIER,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,724,N,M,TOURNAY,J.LUC,PARTI COMMUNISTE FRANCAIS,COM,2469,N,F,GRZEGRZULKA,ODETTE,PARTI SOCIALISTE,SOC,12660,O,M,GRZEZICZAK,FREDDY,POLE REPUBLICAIN,DVG,718,N,M,BASSO,J.DOMINIQUE,INITIATIVE REPUBLICAINE,DVG,158,N,F,AHMED ALI,NORA,LES VERTS,ECO,0,N,F,VOIRET,NADIA,GENERATION ECOLOGIE LES BLEUS,ECO,475,N,M,BERTRAND,XAVIER,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20295,O,M,GRANDIN,ALEXIS,MOUVEMENT POUR LA FRANCE,DVD,1235,N,M,LELONG,MARCEL,FRONT NATIONAL,FRN,6318,N,F,LAGRANGE,DEBORAH,MOUVEMENT NATIONAL REPUBLICAIN,EXD,313,N,M,BETEMS,ALAIN,CHASSE PECHE NATURE ET TRADITIONS,DIV,718,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,3,72659,46162,45078,1084,"63,53%",M,PAILLER,MARC,LUTTE OUVRIERE,EXG,908,N,F,SENE,DANIELE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,359,N,M,MARLANT,YANNICK,PARTI COMMUNISTE FRANCAIS,COM,1573,N,M,BALLIGAND,J.PIERRE,PARTI SOCIALISTE,SOC,20529,O,F,CAILLOT,NICOLE,POLE REPUBLICAIN,DVG,429,N,M,MEURICE,JOSE,LES VERTS,ECO,804,N,M,WARGNIER,DANIEL,GENERATION ECOLOGIE LES BLEUS,ECO,134,N,F,GARIN,ANNICK,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,11787,O,F,PISSOT,ANNIE,MOUVEMENT POUR LA FRANCE,DVD,541,N,F,DELAHAYE,FRANCOISE,FRONT NATIONAL,FRN,6816,N,M,MARCINEK,DOMINIQUE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,348,N,F,FLAMENGT,ANDREE,CHASSE PECHE NATURE ET TRADITIONS,DIV,850,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,4,76158,47010,46182,828,"61,73%",F,VOISIN,LAETITIA,LUTTE OUVRIERE,EXG,720,N,M,MUSSAT,PHILIPPE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,571,N,F,BOCHAND,EDITH,PARTI SOCIALISTE,SOC,5235,N,M,DESALLANGRE,JACQUES,SANS ETIQUETTE,DVG,12912,O,F,ANSART,KARINE,LES VERTS,ECO,886,N,M,SAMYN,JACQUES,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,367,N,F,BOUQUILLON,EMMANUELLE,UNION POUR LA DEMOCRATIE FRANCAISE,UDF,5715,N,F,ERRASTI,EDITH,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,10410,O,F,DEBRET,REGINE,MOUVEMENT POUR LA FRANCE,DVD,289,N,M,SAINT JUST DE,WALLERAND,FRONT NATIONAL,FRN,7912,N,F,KUBIAK,GABRIELLE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,363,N,M,GAUGER,FREDERIC,CHASSE PECHE NATURE ET TRADITIONS,DIV,802,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,5,75534,48661,47682,979,"64,42%",M,BOUCHE,J.CLAUDE,LUTTE OUVRIERE,EXG,1097,N,M,CHASSEUIL,SERGE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,807,N,M,ALLIOUX,J.LUC,PARTI COMMUNISTE FRANCAIS,COM,1931,N,F,BOURDAT,BERNADETTE,PARTI SOCIALISTE,SOC,5827,N,F,THOMASSIN,NICOLE,POLE REPUBLICAIN,DVG,621,N,F,POTIN,M.JEANNE,LES VERTS,ECO,4670,N,M,REY,M.HERVE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,835,N,M,DUTREIL,RENAUD,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,22090,O,F,FRAILLON,OLIVIA,MOUVEMENT POUR LA FRANCE,DVD,311,N,M,BRIFFAUT,FRANCK,FRONT NATIONAL,FRN,8572,O,F,BREZILLON,AGNES,MOUVEMENT NATIONAL REPUBLICAIN,EXD,393,N,M,PASSENHOVE,ROMUALD,CHASSE PECHE NATURE ET TRADITIONS,DIV,528,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,1,57895,37997,36889,1108,"65,63%",F,RAHMANI,KHAMSSA,LUTTE OUVRIERE,EXG,340,N,F,SAVEL,CATHY,PARTI COMMUNISTE FRANCAIS,COM,1967,N,M,COLCOMBET,FRANCOIS,PARTI SOCIALISTE,SOC,13532,O,M,TABAROVSKY,CHRISTIAN,POLE REPUBLICAIN,DVG,253,N,M,FEUILLEBOIS,MICHEL,SANS ETIQUETTE,DVG,233,N,F,DELVINCOURT,DOMINIQUE,LES VERTS,ECO,475,N,M,FABRE,MICHEL,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,138,N,M,GUILLAUMIN,JEAN-MARIE,LE TREFLE,ECO,344,N,M,PERISSOL,PIERRE-ANDRE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,14930,O,M,BOULET,ROBERT,SANS ETIQUETTE,DVD,216,N,M,VELEZ,JEAN-LOUIS,SANS ETIQUETTE,DVD,559,N,M,TRANCHANT,EMMANUEL,MOUVEMENT POUR LA FRANCE,DVD,266,N,F,SALVERT DE,DANIELE,FRONT NATIONAL,FRN,2747,N,M,LECLERC,DANIEL,MOUVEMENT NATIONAL REPUBLICAIN,EXD,152,N,M,PORTEBANE DE,MARC-CLAUDE,SANS ETIQUETTE,EXD,142,N,M,BEAUSSARON,JOSEPH,CHASSE PECHE NATURE ET TRADITIONS,DIV,436,N,F,TALON,MARTINE,RASSEMBLEMENT DES CONTRIBUABLES FRANÃAIS,DIV,159,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
