Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,21 Sexe candidat,21 Nom candidat,21 Prénom candidat,21 Etiquette liste,21 nuance,21 voix,21 Accès second tour,22 Sexe candidat,22 Nom candidat,22 Prénom candidat,22 Etiquette liste,22 nuance,22 voix,22 Accès second tour,22 Pourcentage aux exprimés
28,EURE-ET-LOIR,2,71962,38979,38361,618,"54,17%",M,MAILLOT,DOMINIQUE,PARTI OUVRIER INDÉPENDANT,EXG,299,N,M,VIRY,LUC,LUTTE OUVRIÈRE,EXG,166,N,F,RAHAULT,TYPHAINE,NOUVEAU PARTI ANTICAPITALISTE,EXG,157,N,F,QUERITÉ,GISÈLE,FRONT DE GAUCHE,FDG,1578,N,F,BOULLAIS,GISÈLE,PARTI SOCIALISTE,SOC,12538,O,M,CHASSAING,CHRISTINE,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,419,N,F,MENTION-KARBOUBI,FATIMA,PARTI RADICAL,PRV,312,N,F,TSIZAZA,RONDRO,LE CENTRE POUR LA FRANCE,MODEM,481,N,M,MARLEIX,OLIVIER,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14101,O,M,SOUNI,MOURAD,GAUCHE MODERNE,DVD,287,N,M,ARIPA,ALAIN,MOUVEMENT POUR LA FRANCE,DVD,156,N,F,DAMBRUN,MIREILLE,DEBOUT LA RÉPUBLIQUE,DVD,209,N,M,VAN DE PUTTE,JÉRÔME,RASSEMBLEMENT BLEU MARINE,FRN,6419,N,M,MBALA,DIEUDONNÉ,PARTI ANTISIONISTE,EXD,436,N,M,DAUTRÊME,JACQUES,UNION DE LA DROITE NATIONALE,EXD,803,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURE-ET-LOIR,3,71269,42028,41406,622,"58,97%",F,MAS,NICOLE,PARTI OUVRIER INDÉPENDANT,EXG,193,N,M,CHEVROLLIER,VINCENT,LUTTE OUVRIÈRE,EXG,226,N,F,DUMONCAY,SYGRID,NOUVEAU PARTI ANTICAPITALISTE,EXG,156,N,F,CHARTRAIN,MYLÈNE,FRONT DE GAUCHE,FDG,1730,N,M,HUWART,HAROLD,PARTI RADICAL DE GAUCHE,PRG,14837,O,F,BITTERLIN,ANNE,MOUVEMENT ÉCOLOGISTE INDÉPENDANT,ECO,240,N,F,JOLY,VIVETTE,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,331,N,F,DALMASSO,AMANDINE,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,132,N,F,AVENET-CHEVEE,MARIE-HÉLÈNE,LE CENTRE POUR LA FRANCE,MODEM,638,N,F,DE LA RAUDIERE,LAURE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,15906,O,M,SABATTIER,PIERRE,UNION POUR LA FRANCE,DVD,94,N,M,MARCHAND,ERIC,DEBOUT LA RÉPUBLIQUE,DVD,248,N,M,LOISEAU,PHILIPPE,RASSEMBLEMENT BLEU MARINE,FRN,6304,N,M,HÉLIE,ROLAND,UNION DE LA DROITE NATIONALE,EXD,371,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURE-ET-LOIR,4,67206,41379,40620,759,"61,57%",F,ASSAYAG,ANNE-LAURE,LUTTE OUVRIÈRE,EXG,241,N,M,GEORGET,MANUEL,NOUVEAU PARTI ANTICAPITALISTE,EXG,221,N,F,GARCIA,DOMINIQUE,FRONT DE GAUCHE,FDG,2392,N,M,LAANAYA,KARIM,EUROPE-ECOLOGIE-LES VERTS,ECO,9504,N,M,GOVERNATORI,MARC,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,313,N,M,VIGIER,PHILIPPE,NOUVEAU CENTRE,NouvC,20603,N,F,LUCAS,ANNE-LAURE,PARTI CHRÉTIEN-DÉMOCRATE,DVD,249,N,F,MARCEAUX,CATHERINE,UNION POUR LA FRANCE,DVD,179,N,F,ROUSSEAU,DANIELLE,DEBOUT LA RÉPUBLIQUE,DVD,323,N,F,BERCHER,GUYLAINE,RASSEMBLEMENT BLEU MARINE,FRN,6271,N,M,BAECKEROOT,CHRISTIAN,UNION DE LA DROITE NATIONALE,EXD,324,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,1,85917,53346,52565,781,"62,09%",M,HARDY,SERGE,LUTTE OUVRIÈRE,EXG,248,N,M,BERNARD,ANDRÉ,FRONT DE GAUCHE,FDG,2590,N,M,URVOAS,JEAN-JACQUES,PARTI SOCIALISTE,SOC,25959,O,F,PETIT,MARTINE,EUROPE-ECOLOGIE-LES VERTS,ECO,2775,N,M,LANGLAIS,PIERRE,PARTI RADICAL,PRV,897,N,F,NICOLAS,CORINE,LE CENTRE POUR LA FRANCE,MODEM,1399,N,M,FONTAINE,GEORGES-PHILIPPE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14335,O,M,BODIN,HUBERT,PARTI CHRÉTIEN-DÉMOCRATE,DVD,596,N,M,ROUSSEAU,ALAIN,RASSEMBLEMENT BLEU MARINE,FRN,3757,N,F,LE MENN,SILVIANE,RASSEMBLEMENT POUR L'INITIATIVE CITOYENNE,DIV,9,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,2,78114,42621,41845,776,"54,56%",F,CONTIGNON,LYDIE,PARTI OUVRIER INDÉPENDANT,EXG,184,N,M,CHERBLANC,ANDRÉ,LUTTE OUVRIÈRE,EXG,167,N,F,GOURMELEN,SYLVIE,NOUVEAU PARTI ANTICAPITALISTE,EXG,358,N,F,HERE,JACQUELINE,FRONT DE GAUCHE,FDG,2824,N,F,ADAM,PATRICIA,PARTI SOCIALISTE,SOC,20655,O,F,LE GOIC,JULIE,EUROPE-ECOLOGIE-LES VERTS,ECO,1959,N,M,PELLICANO,FORTUNÉ,LE CENTRE POUR LA FRANCE,MODEM,2030,N,M,BERTHELOT,MARC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,9416,O,F,FABRE,MADELEINE,RASSEMBLEMENT BLEU MARINE,FRN,3595,N,F,KERVERN,ANNE-MARIE,UNION DÉMOCRATIQUE BRETONNE - UDB,DIV,657,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,3,86268,52603,51980,623,"60,98%",M,MERLIN,FABRICE,LUTTE OUVRIÈRE,EXG,251,N,M,PERROT,CHRIS,GAUCHE ALTERNATIVE 2012,EXG,488,N,M,SEYS,BERTRAND,FRONT DE GAUCHE,FDG,2602,N,F,MIGOT,CHRISTIANE,PARTI RADICAL DE GAUCHE,PRG,1526,N,M,BLEUNVEN,JEAN-LUC,SOCIALISTE DISSIDENT,DVG,11054,O,F,DEVAL,MAGALI,EUROPE-ECOLOGIE-LES VERTS (SOUTIEN PS),ECO,10799,N,M,PELISSARD,PATRICK,LE CENTRE POUR LA FRANCE,MODEM,1170,N,F,LAMOUR,MARGUERITE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,20177,O,M,MENARD,JOËL,RASSEMBLEMENT BLEU MARINE,FRN,3913,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,4,82128,52194,51647,547,"63,55%",F,BLOSSE,PATRICIA,LUTTE OUVRIÈRE,EXG,268,N,M,DUPONT,ISMAËL,FRONT DE GAUCHE,FDG,2956,N,F,LEBRANCHU,MARYLISE,PARTI SOCIALISTE,SOC,24900,O,M,GUIZIEN,DOMINIQUE,EUROPE-ECOLOGIE-LES VERTS,ECO,2305,N,F,GUILLERM,CAROLE,LE CENTRE POUR LA FRANCE,MODEM,1332,N,F,LE BRUN,AGNÈS,UNION POUR UN MOUVEMENT POPULAIRE,UMP,16830,O,F,REMACLE,FRANCINE,RASSEMBLEMENT BLEU MARINE,FRN,2614,N,M,VALLERIE,YANN,JEUNE BRETAGNE,EXD,301,N,M,LE GOFF,JEAN-PAUL-YVES,RASSEMBLEMENT POUR L'INITIATIVE CITOYENNE,DIV,8,N,M,DELANDE,RENÉ,SANS ÉTIQUETTE,DIV,133,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,5,91131,55709,54961,748,"61,13%",F,CHAUVEAU,FRANÇOISE,LUTTE OUVRIÈRE,EXG,289,N,F,MAZELIN,ISABELLE,FRONT DE GAUCHE,FDG,2417,N,F,GUITTET,CHANTAL,PARTI SOCIALISTE,SOC,23069,O,F,ROLLAND-CHAPELAIN,GAËLLE,EUROPE-ECOLOGIE-LES VERTS,ECO,3188,N,M,SOMME,ALAIN,LE CENTRE POUR LA FRANCE,MODEM,2130,N,M,LE GUEN,JACQUES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,19534,O,M,DECHAMPS,ERIC,RASSEMBLEMENT BLEU MARINE,FRN,3766,N,M,LO VERSO,MICHAEL,JEUNE BRETAGNE,EXD,377,N,F,JACQ,MARIE-CÉCILE,PARTI PIRATE,DIV,191,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,6,89396,57363,56668,695,"64,17%",F,PIRO,ELISABETH,LUTTE OUVRIÈRE,EXG,188,N,M,MENESGUEN,ANDRÉ,NOUVEAU PARTI ANTICAPITALISTE,EXG,556,N,F,PEOC'H,NOËLLE,FRONT DE GAUCHE,FDG,2999,N,M,FERRAND,RICHARD,PARTI SOCIALISTE,SOC,18300,O,M,TROADEC,CHRISTIAN,DIVERS GAUCHE,DVG,11286,N,F,LECLERC,JOCELYNE,EUROPE-ECOLOGIE-LES VERTS,ECO,2118,N,M,CAP,DOMINIQUE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,15733,O,F,LAURENT,MARIE,PARTI CHRÉTIEN-DÉMOCRATE,DVD,636,N,F,ROSSIGNEUX,SOPHIE,DEBOUT LA RÉPUBLIQUE,DVD,540,N,F,HAAS,MARIE-ANNE,RASSEMBLEMENT BLEU MARINE,FRN,4312,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,7,79860,50950,50408,542,"63,8%",M,DEFRANCE,SERGE,LUTTE OUVRIÈRE,EXG,221,N,F,PENCALET-KERIVEL,FRANÇOISE,FRONT DE GAUCHE,FDG,3415,N,F,LE LOCH,ANNICK,PARTI SOCIALISTE,SOC,22563,O,F,MORICEAU,JANICK,EUROPE-ECOLOGIE-LES VERTS,ECO,2057,N,M,JOUANNO,JEAN,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,386,N,M,CANEVET,MICHEL,ALLIANCE CENTRISTE,MODEM-,7589,N,M,GUILLON,DIDIER,UNION POUR UN MOUVEMENT POPULAIRE,UMP,11090,O,F,DELGRANGE,EVELYNE,RASSEMBLEMENT BLEU MARINE,FRN,3087,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,8,84438,50454,49589,865,"59,75%",F,MENVIELLE,ANNIE,PARTI OUVRIER INDÉPENDANT,EXG,217,N,F,MOREL,ANNE,LUTTE OUVRIÈRE,EXG,279,N,M,TILLY,MARCEL,FRONT DE GAUCHE,FDG,3246,N,M,LE BRIS,GILBERT,PARTI SOCIALISTE,SOC,24092,O,M,LEFLOCH,STÉPHANE,EUROPE-ECOLOGIE-LES VERTS,ECO,2651,N,M,DUFLEIT,ROLAND,GÉNÉRATION ÉCOLOGIE,ECO,168,N,M,BALANANT,ERWAN,LE CENTRE POUR LA FRANCE,MODEM,2171,N,M,DOSSENA,ATTO,UNION POUR UN MOUVEMENT POPULAIRE,UMP,10527,O,M,VANZANDE,HERVÉ,NOUVEAU CENTRE,NouvC,428,N,F,PONTIGNY LUCAS,FRANÇOISE,PARTI CHRÉTIEN-DÉMOCRATE,DVD,421,N,M,EBROUSSARD,GILLES,RASSEMBLEMENT BLEU MARINE,FRN,4461,N,F,RIMBAULT,ANNE-MARIE,JEUNE BRETAGNE,EXD,296,N,F,MOIGN,ISABELLE,UNION DÉMOCRATIQUE BRETONNE - UDB,DIV,632,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,CORSE-DU-SUD,1,47854,27278,26932,346,57%,M,DAIEN,YVES,LUTTE OUVRIÈRE,EXG,74,N,M,LUCIANI,PAUL-ANTOINE,FRONT DE GAUCHE,FDG,2040,N,M,RENUCCI,SIMON,CORSE SOCIALE DÉMOCRATE (SOUTIEN PS - PRG),DVG,7914,O,M,COLONNA,ROMAIN,EUROPE-ECOLOGIE-LES VERTS,ECO,2423,N,M,TUCCI,PIERRE-NOËL,GÉNÉRATION ÉCOLOGIE,ECO,0,N,M,CRESP,JEAN-MARC,PARTI RADICAL,PRV,1301,N,M,MARCANGELI,LAURENT,UNION POUR UN MOUVEMENT POPULAIRE,UMP,8282,O,M,RISTICONI,JOSÉ,RASSEMBLEMENT BLEU MARINE,FRN,2767,N,M,LEONETTI,PAUL-MATHIEU,CORSICA LIBERA,DIV,1785,N,M,ALBERTINI,JEAN-LUC,A VOCE PAESANU,DIV,346,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,CORSE-DU-SUD,2,53677,32740,32308,432,"60,99%",F,RODINSON,CLAUDINE,LUTTE OUVRIÈRE,EXG,74,N,M,BUCCHINI,DOMINIQUE,FRONT DE GAUCHE,FDG,3509,N,M,BARTOLI,PAUL-MARIE,CORSE SOCIALE DÉMOCRATE (SOUTIEN PS - PRG),DVG,5431,N,M,ANGELINI,JEAN-CHRISTOPHE,EUROPE-ECOLOGIE-LES VERTS,ECO,6860,O,M,DE ROCCA SERRA,CAMILLE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,10662,O,M,ANGELINI,BERNARD,RASSEMBLEMENT BLEU MARINE,FRN,3175,N,M,QUASTANA,PAUL,CORSICA LIBERA,DIV,2596,N,M,TONIN,DOMINIQUE,PARTI DU VOTE BLANC,DIV,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,HAUTE-CORSE,1,54669,33325,32835,490,"60,96%",M,JOSUE,OLIVIER,LUTTE OUVRIÈRE,EXG,94,N,M,STEFANI,MICHEL,FRONT DE GAUCHE,FDG,2346,N,M,ZUCCARELLI,JEAN,PARTI RADICAL DE GAUCHE,PRG,7734,O,M,SIMEONI,GILLES,EUROPE-ECOLOGIE-LES VERTS,ECO,8121,O,M,BACCARELLI,JEAN-FRANÇOIS,MOUVEMENT ÉCOLOGISTE,ECO,590,N,M,GANDOLFI-SCHEIT,SAUVEUR,UNION POUR UN MOUVEMENT POPULAIRE,UMP,10241,O,M,CARDI,TONY,RASSEMBLEMENT BLEU MARINE,FRN,2626,N,M,ANTOLINI,GHJUVAN-FILIPPU,CORSICA LIBERA,DIV,1083,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,HAUTE-CORSE,2,63918,39540,38923,617,"61,86%",F,GOVI MATTEI,PIERRETTE,LUTTE OUVRIÈRE,EXG,191,N,F,FEDI,MARIE-JEANNE,FRONT DE GAUCHE,FDG,2258,N,M,GIACOBBI,PAUL,PARTI RADICAL DE GAUCHE,PRG,16970,O,M,LUCIANI,XAVIER,EUROPE-ECOLOGIE-LES VERTS,ECO,4201,N,F,GRIMALDI,STÉPHANIE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,9645,O,F,MASSONI,ESTELLE,RASSEMBLEMENT BLEU MARINE,FRN,3250,N,M,TOMASI,PETRU-ANTONE,CORSICA LIBERA,DIV,2408,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,1,83399,48518,47990,528,"58,18%",F,LECLERC,ISABELLE,LUTTE OUVRIÈRE,EXG,119,N,M,DEJEAN,GUY,NOUVEAU PARTI ANTICAPITALISTE,EXG,133,N,F,FAYET,SYLVETTE,FRONT DE GAUCHE,FDG,3653,N,F,DUMAS,FRANÇOISE,PARTI SOCIALISTE (SOUTIEN EELV),SOC,14545,O,F,RAG EL HASSI,FATIMA,MOUVEMENT RÉPUBLICAIN ET CITOYEN,DVG,248,N,F,COILLET-MATILLON,LYSIANE,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,379,N,F,GROSSETETE,DOMINIQUE,EUROPE - ECOLOGIE - LES VERTS DISSIDENT,ECO,496,N,M,ALBANESE,MICHEL,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,90,N,M,BOURBOUSSON,JACQUES,PARTI RADICAL,PRV,1253,N,M,LACHAUD,YVAN,NOUVEAU CENTRE,NouvC,13920,O,F,ANDRE,CATHERINE,ALLIANCE ROYALE,DVD,72,N,M,ARMANDO,JACQUES,DEBOUT LA RÉPUBLIQUE,DVD,282,N,M,SANCHEZ,JULIEN,RASSEMBLEMENT BLEU MARINE,FRN,12487,O,M,PONGE,ROBERT,UNION DE LA DROITE NATIONALE,EXD,211,N,F,ALIROL,ANNE,PARTI OCCITAN,DIV,102,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,2,82317,52158,51560,598,"63,36%",M,MANSON,STÉPHANE,LUTTE OUVRIÈRE,EXG,164,N,F,FLOUTIER,DANIELLE,FRONT DE GAUCHE,FDG,2672,N,F,GUYOT,KATY,PARTI SOCIALISTE (SOUTIEN EELV),SOC,16948,O,F,ABELLO BOYER,JACQUELINE,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,417,N,M,VICTORIA,AUGUSTE,EUROPE - ECOLOGIE - LES VERTS DISSIDENT,ECO,505,N,F,JOURDAN,CAROLE,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,167,N,M,MOURRUT,ETIENNE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,12318,O,F,MARTINERIE,DOROTHÉE,DEBOUT LA RÉPUBLIQUE,DVD,334,N,M,COLLARD,GILBERT,RASSEMBLEMENT BLEU MARINE,FRN,17826,O,M,SPOSITO,JEAN-MICHEL,PARTI DU VOTE BLANC,DIV,0,N,M,CLIMENT,JAMES,PARTI PIRATE,DIV,209,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,3,88900,55635,54902,733,"62,58%",M,EGEA,JEAN,LUTTE OUVRIÈRE,EXG,209,N,M,MENARD,CHARLES,FRONT DE GAUCHE,FDG,3916,N,M,PRAT,PATRICE,PARTI SOCIALISTE (SOUTIEN EELV),SOC,17753,O,F,LAHANA,STÉPHANIE,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,585,N,F,CHOFFAT,CATHERINE,EUROPE-ECOLOGIE-LES VERTS DISSIDENT,ECO,1074,N,M,ROUBAUD,JEAN-MARC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,17266,O,M,ALLIOT,NICOLAS,DEBOUT LA RÉPUBLIQUE,DVD,576,N,M,CAITUCOLI,GILLES,RASSEMBLEMENT BLEU MARINE,FRN,13355,O,F,GUILLE,NELLY,RÉGIONALISTE,DIV,168,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,4,87721,55396,54664,732,"63,15%",M,CIUTI,PATRICE,LUTTE OUVRIÈRE,EXG,167,N,F,PASQUALINI,SOPHIE,GAUCHE ALTERNATIVE 2012,EXG,169,N,M,CHAULET,EDOUARD,FRONT DE GAUCHE,FDG,8350,N,M,VERDIER,FABRICE,PARTI SOCIALISTE (SOUTIEN EELV),SOC,16130,O,F,BRION,ISABELLE,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,544,N,F,VEILLERETTE,ODILE,EUROPE-ECOLOGIE-LES VERTS DISSIDENT,ECO,641,N,M,RIVET-MARTEL,VINCENT,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,100,N,M,ROUSTAN,MAX,UNION POUR UN MOUVEMENT POPULAIRE,UMP,17048,O,F,LORDELOT,MURIELLE,DEBOUT LA RÉPUBLIQUE,DVD,259,N,F,ZOUROUDIS,HÉLÈNE,RASSEMBLEMENT BLEU MARINE,FRN,10689,N,M,PONGE,DENISE,UNION DE LA DROITE NATIONALE,EXD,473,N,M,IMBERT,PASCAL,RÉGIONALISTE,DIV,94,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,5,93440,58460,57415,1045,"62,56%",M,RIVRON,ALAIN,PARTI OUVRIER INDÉPENDANT,EXG,162,N,M,DE MAUVAISIN,OLIVIER,LUTTE OUVRIÈRE,EXG,235,N,F,BARBE,SYLVIE,GAUCHE ALTERNATIVE 2012,EXG,383,N,M,SUAU,JEAN-MICHEL,FRONT DE GAUCHE,FDG,9446,N,F,DUMAS,WILLIAM,PARTI SOCIALISTE,SOC,18287,O,M,DOULCIER,ERIC,EUROPE-ECOLOGIE-LES VERTS,ECO,4383,N,F,DUMAS,ROSELYNE,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,17,N,M,FRANCES,HENRI,LE CENTRE POUR LA FRANCE,MODEM,1076,N,M,BENEZET,JEAN-CHARLES,NOUVEAU CENTRE,NouvC,10459,N,F,VERGNES,SYBIL,RASSEMBLEMENT BLEU MARINE,FRN,12656,O,M,ROUDIER,RICHARD,RÉGIONALISTE,DIV,311,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,6,77652,44823,44269,554,"57,72%",F,TERBECHE,AÏCHA,LUTTE OUVRIÈRE,EXG,125,N,M,CASTEL,BRUNO,NOUVEAU PARTI ANTICAPITALISTE,EXG,226,N,F,GAYRAUD,MARTINE,FRONT DE GAUCHE,FDG,3666,N,F,PEZET,VALÉRIE,PARTI RADICAL DE GAUCHE,PRG,521,N,M,CAVARD,CHRISTOPHE,EUROPE-ECOLOGIE-LES VERTS (SOUTIEN PS),ECO,13517,O,F,CECCCHINATO,MÉLINDA,LE TRÈFLE - LES NOUVEAUX ECOLOGISTES,ECO,355,N,M,PASTOR,SILVAIN,EUROPE-ECOLOGIE-LES VERTS DISSIDENT,ECO,576,N,M,GUIRAUD,JEREMIAH,ALLIANCE ECOLOGISTE INDÉPENDANTE,ECO,111,N,M,BERTA,PHILIPPE,LE CENTRE POUR LA FRANCE,MODEM,1027,N,M,PROUST,FRANCK,UNION POUR UN MOUVEMENT POPULAIRE,UMP,11804,O,M,BENEZECH,CAMILLE,DEBOUT LA RÉPUBLIQUE,DVD,454,N,F,VIGNON,SYLVIE,RASSEMBLEMENT BLEU MARINE,FRN,11405,O,F,RIBANIER,MIREILLE,UNION DE LA DROITE NATIONALE,EXD,364,N,M,ROUDIER,OLIVIER,RÉGIONALISTE,DIV,118,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
