,Region Code,region,Year0,Score00,Surname00,Name00,Parti00,Score01,Surname01,Name01,Parti01,Year1,Score10,Surname10,Name10,Parti10,Score11,Surname11,Name11,Parti11,Year2,Score20,Surname20,Name20,Parti20,Score21,Surname21,Name21,Parti21,Year3,Score30,Surname30,Name30,Parti30,Score31,Surname31,Name31,Parti31,Excédent brut et revenu mixte,Salaires et traitements bruts,Cotisations sociales des salariés et des non-salariés,Impôts               ,Prestations en espèces,Autres (1),Revenu disponible brut,year,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total,gender
0,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3307.0,9703.0,1597.0,1980.0,4925.0,1384.0,15742.0,2002,711760,765534,728228,325409,123997,2654928,male
1,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3307.0,9703.0,1597.0,1980.0,4925.0,1384.0,15742.0,2002,678929,750884,725061,381557,241356,2777787,female
2,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3341.0,9877.0,1653.0,2055.0,5105.0,1388.0,16003.0,2003,707265,760356,739102,324931,129118,2660772,male
3,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3341.0,9877.0,1653.0,2055.0,5105.0,1388.0,16003.0,2003,674017,746288,738492,378573,248303,2785673,female
4,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3546.0,10186.0,1717.0,2106.0,5336.0,1464.0,16709.0,2004,705080,751778,751632,323543,134037,2666070,male
5,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3546.0,10186.0,1717.0,2106.0,5336.0,1464.0,16709.0,2004,671954,737633,753405,375094,254722,2792808,female
6,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3550.0,10270.0,1603.0,2186.0,5405.0,1450.0,16886.0,2005,701776,744060,764678,322365,139744,2672623,male
7,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3550.0,10270.0,1603.0,2186.0,5405.0,1450.0,16886.0,2005,669428,730439,767892,372104,262784,2802647,female
8,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3707.0,10629.0,1698.0,2237.0,5621.0,1507.0,17529.0,2006,697214,737346,773360,322187,147873,2677980,male
9,44,Grand Est,2017,"27                                                                                                                                                                                                                                                                                              ,78",LE PEN,Marine,FN,"20      ,72",MACRON,Emmanuel,LREM,2012,"28  ,60384714",SARKOZY,Nicolas,UMP,"23 ,27284962",HOLLANDE,François,PS,2007,"32,485302",SARKOZY,Nicolas,UMP,"20  ,75351772",ROYAL,Ségolène,PS,2002,"21  ,91911703",LE PEN,JEAN-MARIE,FN,"18,9985881",CHIRAC,JACQUES,UMP   ,3707.0,10629.0,1698.0,2237.0,5621.0,1507.0,17529.0,2006,664690,724170,781627,367424,274201,2812112,female
