Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,20 Pourcentage aux exprimés
28,EURE-ET-LOIR,2,70131,40043,39399,644,"57,1%",F,JAFFRENOU,BEATRICE,PARTI DES TRAVAILLEURS,EXG,356,N,M,CHEVROLLIER,VINCENT,LUTTE OUVRIERE,EXG,404,N,F,GALVIN,MARTINE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,827,N,F,QUERITE,GISELE,PARTI COMMUNISTE FRANCAIS,COM,788,N,F,HESSEL,BIRGITTA,PARTI SOCIALISTE,SOC,8472,O,F,DUTHU,FRANCOISE,LES VERTS,ECO,1277,N,M,GABORIAU,JEAN-PIERRE,UDF - MOUVEMENT DEMOCRATE,MODEM,4118,N,M,HAMEL,GERARD,UNION POUR UN MOUVEMENT POPULAIRE,UMP,18662,O,F,RIGOURD,JOCELYNE,MOUVEMENT POUR LA FRANCE,DVD,797,N,M,DAUTREME,JACQUES,FRONT NATIONAL,FRN,3061,N,F,GENET,VERONIQUE,CHASSE PECHE NATURE TRADITIONS,DIV,637,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURE-ET-LOIR,3,71277,42545,41690,855,"59,69%",F,MAS,NICOLE,PARTI DES TRAVAILLEURS,EXG,316,N,F,GODDE,ANNE-CATHERINE,LUTTE OUVRIERE,EXG,552,N,M,MOURAD,STEPHANE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,756,N,M,EMMANUEL,PASCAL,CANDIDAT RASSEMBLEMENT PCF,COM,666,N,M,HUWART,FRANCOIS,PARTI RADICAL DE GAUCHE (SOUTIEN PS),PRG,12470,O,M,LAANAYA,KARIM,LES VERTS,ECO,1125,N,F,DIVEKI,ISABELLE,UDF - MOUVEMENT DEMOCRATE,MODEM,2309,N,F,de LA RAUDIERE,LAURE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14579,O,M,HOGUET,PATRICK,SANS ETIQUETTE,DVD,4797,N,M,DEBALLON,HUGUES,MOUVEMENT POUR LA FRANCE,DVD,593,N,M,LOISEAU,PHILIPPE,FRONT NATIONAL,FRN,3000,N,F,RIBEIRO,FRANCOISE,CHASSE PECHE NATURE TRADITIONS,DIV,527,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURE-ET-LOIR,4,67909,42890,41874,1016,"63,16%",F,CHAIZE,MIREN,LUTTE OUVRIERE,EXG,554,N,F,BOUYSSOU,ALICE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1096,N,F,GARCIA,DOMINIQUE,PARTI COMMUNISTE FRANCAIS,COM,1356,N,M,FAUVE,SERGE,PARTI SOCIALISTE,SOC,9467,N,F,AUROI,DANIELLE,LES VERTS,ECO,1298,N,M,VIGIER,PHILIPPE,PARTI SOCIAL LIBERAL EUROPEEN,PSLE,23918,N,F,JOUACHIM,BERNADETTE,MOUVEMENT POUR LA FRANCE,DVD,964,N,F,GARCETTE,MARIE-FRANCE,FRONT NATIONAL,FRN,2342,N,F,GUILLET-BRIAND,JESSICA,CHASSE PECHE NATURE TRADITIONS,DIV,879,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,1,84724,57402,56665,737,"67,75%",M,HARDY,SERGE,LUTTE OUVRIERE,EXG,325,N,F,CARRASCO,JANINE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1592,N,F,RAINERO,YVONNE,PARTI COMMUNISTE FRANCAIS,COM,1304,N,M,URVOAS,JEAN JACQUES,PARTI SOCIALISTE,SOC,16922,O,M,LE BIGOT,DANIEL,LES VERTS,ECO,5735,N,F,LE BAL,ISABELLE,UDF - MOUVEMENT DEMOCRATE,MODEM,5567,N,F,RAMONET,MARCELLE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,23200,O,M,ROUSSEAU,ALAIN- PIERRE,MOUVEMENT POUR LA FRANCE,DVD,438,N,M,DEGHILAGE,XAVIER,FRONT NATIONAL,FRN,987,N,M,MARZIN,DIDIER,MOUVEMENT NATIONAL REPUBLICAIN,EXD,165,N,M,MESSAOUDI,GILLES,LA FRANCE EN ACTION,DIV,430,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,2,71219,43219,42569,650,"60,68%",M,CALVEZ,ROGER,PARTI DES TRAVAILLEURS,EXG,132,N,M,CHERBLANC,ANDRE,LUTTE OUVRIERE,EXG,178,N,M,APPERE,PATRICK,GAUCHE ALTERNATIVE 2007,EXG,1438,N,M,GARCON,ANDRE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1121,N,F,ABILLY,GAELLE,PARTI COMMUNISTE FRANCAIS,COM,1060,N,F,ADAM,PATRICIA,PARTI SOCIALISTE,SOC,15653,O,F,LOUSSOUARN,MARIF,LES VERTS,ECO,1324,N,M,ASCOET,STEPHANE,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,408,N,M,PAGES,YVES,UDF - MOUVEMENT DEMOCRATE,MODEM,4633,N,M,LE BORGNE,JEAN YVES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14710,O,F,BRETAUD,SANDRINE,MOUVEMENT POUR LA FRANCE,DVD,573,N,F,FABRE,MADELEINE,FRONT NATIONAL,FRN,808,N,F,LE NEDELLEC,FREDERIQUE,UDB - FRANKIZ BREIZH,DIV,531,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,3,92511,59753,58987,766,"64,59%",M,PIRO,JACQUES,LUTTE OUVRIERE,EXG,386,N,F,COUTURIER,CATHERINE,GAUCHE ALTERNATIVE 2007,EXG,936,N,M,QUELENNEC,ERWAN,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1616,N,F,DUBREULE,MURIELLE,PARTI COMMUNISTE FRANCAIS,COM,691,N,M,CUILLANDRE,FRANCOIS,PARTI SOCIALISTE,SOC,19102,O,M,AUGEREAU,JEAN,LES VERTS,ECO,2449,N,M,MERER,LAURENT,UDF - MOUVEMENT DEMOCRATE,MODEM,6827,N,F,LAMOUR,MARGUERITE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,25189,O,F,MEVEL,SOPHIE,MOUVEMENT POUR LA FRANCE,DVD,650,N,F,REMOND,VERONIQUE,FRONT NATIONAL,FRN,1141,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,4,82373,54262,53517,745,"65,87%",F,ROUDAUT,ALICE,LUTTE OUVRIERE,EXG,453,N,F,GENTRIC,ANNE- MARIE,EXTREME GAUCHE,EXG,1373,N,M,BOURVEN,FRANCOIS,GAUCHE POPULAIRE ET ANTILIBERALE SOUTENUE PAR PCF,COM,1220,N,F,LEBRANCHU,MARYLISE,PARTI SOCIALISTE,SOC,21494,O,F,PRIGENT-GUIZIOU,CHRISTINE,VERTS - UDB,ECO,2059,N,M,METAYER,STEPHANE,GENERATION ECOLOGIE,ECO,585,N,M,JONCOUR,JOCELYN,UDF - MOUVEMENT DEMOCRATE,MODEM,5021,N,M,CAROFF,GILLES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,19428,O,M,ROGARD,YVON,MOUVEMENT POUR LA FRANCE,DVD,564,N,F,REMACLE,FRANCINE,FRONT NATIONAL,FRN,932,N,M,PLOUGONVEN,JEAN -HUGUES,LA FRANCE EN ACTION,DIV,388,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,5,88793,57713,57055,658,65%,F,CHAUVEAU,FRANCOISE,LUTTE OUVRIERE,EXG,556,N,M,HERVE,YANNICK,GAUCHE ALTERNATIVE 2007,EXG,2164,N,M,CHEVALIER,JEAN,PARTI COMMUNISTE FRANCAIS,COM,1005,N,F,GUITTET,CHANTAL,PARTI SOCIALISTE,SOC,16026,O,M,WINCKLER,CHRISTOPHE,LES VERTS,ECO,2572,N,M,MORUCCI,EMMANUEL,UDF - MOUVEMENT DEMOCRATE,MODEM,5026,N,M,LE GUEN,JACQUES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,28001,O,M,KEROAS,JEAN- MARIE,MOUVEMENT POUR LA FRANCE,DVD,692,N,M,FABRE,ALAIN,FRONT NATIONAL,FRN,1013,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,6,88705,60434,59584,850,"68,13%",F,GUILLOU- PIRO,ELISABETH,LUTTE OUVRIERE,EXG,390,N,M,GUILLEMOT,MATTHIEU,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,2208,N,F,NICOLE,CORINNE,PARTI COMMUNISTE FRANCAIS,COM,1081,N,M,FERRAND,RICHARD,PARTI SOCIALISTE,SOC,15050,O,M,TROADEC,CHRISTIAN,DIVERS GAUCHE,DVG,7393,N,F,LEMOINE,DANIELLE,GENERATION ECOLOGIE,ECO,1216,N,F,LE MOAN,CATHERINE,UDF - MOUVEMENT DEMOCRATE,MODEM,5224,N,M,MENARD,CHRISTIAN,UNION POUR UN MOUVEMENT POPULAIRE,UMP,24659,O,F,DONNARDIEU,ELISABETH,MOUVEMENT POUR LA FRANCE,DVD,478,N,F,HAAS,MARIE ANNE,FRONT NATIONAL,FRN,1173,N,M,MILLIAU,PHILIPPE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,190,N,M,QUEINNEC,JEAN- YVES,LA FRANCE EN ACTION,DIV,522,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,7,79288,53638,52967,671,"67,65%",M,DEFRANCE,SERGE,LUTTE OUVRIERE,EXG,506,N,M,GUIRRIEC,LOUIS,GAUCHE UNITAIRE ANTILIBERALE,COM,2224,N,F,LE LOCH,ANNICK,PARTI SOCIALISTE,SOC,17020,O,F,HASCOET,ELISABETH,LES VERTS,ECO,2158,N,M,CANEVET,MICHEL,UDF - MOUVEMENT DEMOCRATE,MODEM,10333,N,F,TANGUY,HELENE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,19242,O,M,HAAS,RENAN,FRONT NATIONAL,FRN,1051,N,M,JOUANNO,RENE JEAN,LA FRANCE EN ACTION,DIV,433,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FINISTERE,8,82005,53969,53015,954,"65,81%",F,COATEVAL,ANNICK,LUTTE OUVRIERE,EXG,404,N,M,LE BOUR,ERIC,GAUCHE ALTERNATIVE 2007,EXG,2774,N,M,LE DANVIC,FABRICE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1671,N,M,GOURMELEN,LOUIS- DANIEL,PARTI COMMUNISTE FRANCAIS,COM,419,N,M,LE BRIS,GILBERT,PARTI SOCIALISTE,SOC,18883,O,F,CHAUFFIN,FANNY,UDB / LES VERTS,ECO,1578,N,M,DUFLEIT,ROLLAND,GENERATION ECOLOGIE,ECO,995,N,F,TANGUY GALLEN,CATHERINE,UDF - MOUVEMENT DEMOCRATE,MODEM,3966,N,F,TRICHE,JEANNE YVONNE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,18097,O,F,TANAVELLE,SOLANGE,MOUVEMENT POUR LA FRANCE,DVD,1002,N,M,BLANCHE,GEORGES,FRONT NATIONAL,FRN,1322,N,M,LE BRIS,GERARD,CHASSE PECHE NATURE TRADITIONS,DIV,936,N,M,FLEGEO,GUY,LA FRANCE EN ACTION,DIV,968,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,CORSE-DU-SUD,1,44702,26514,26201,313,"59,31%",M,DAiEN,YVES,LUTTE OUVRIERE,EXG,77,N,M,LUCIANI,PAUL-ANTOINE,PARTI COMMUNISTE FRANCAIS,COM,1455,N,M,RENUCCI,SIMON,CORSE SOCIAL DEMOCRATE (SOUTIEN PS),DVG,8606,O,M,TALLARICO,GUSTAVE,GENERATION ECOLOGIE,ECO,414,N,M,CORTEY,PHILIPPE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,8915,O,M,BILLARD,JACQUES,DIVERS DROITE,DVD,2871,N,M,MARTINELLI,OLIVIER,FRONT NATIONAL,FRN,1109,N,M,POLI,JEAN-MARIE,UNIONE PER UNA SULUZIONE PULITICA,DIV,2754,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,CORSE-DU-SUD,2,49711,29276,28795,481,"58,89%",F,LACLAU,NATHALIE,LUTTE OUVRIERE,EXG,110,N,M,BUCCHINI,DOMINIQUE,GAUCHE POPULAIRE ET CITOYENNE,COM,3741,N,F,BOSCHI-ANDREANI,MARIE-JEANNNE,PARTI SOCIALISTE,SOC,2329,N,M,TUCCI,PIERRE-NOEL,GENERATION ECOLOGIE,ECO,523,N,M,DE ROCCA SERRA,CAMILLE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14692,N,M,MARIAGGI,GUY,FRONT NATIONAL,FRN,770,N,F,SIVKOVICH,JOSEPHINE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,203,N,M,ANGELINI,JEAN-CHRISTOPHE,UNIONE PER UNA SULUZIONE PULITICA,DIV,4185,N,M,QUASTANA,PAUL,NATIONALISTE,DIV,2242,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,HAUTE-CORSE,1,51544,29674,29048,626,"57,57%",M,MATTEI,BERNARD,LUTTE OUVRIERE,EXG,221,N,M,SANCHEZ,HELENE,SOLIDARITE ECOLOGIE GAUCHE ALTERNATIVE,EXG,386,N,M,STEFANI,MICHEL,PARTI COMMUNISTE FRANCAIS,COM,1827,N,M,ZUCCARELLI,EMILE,PARTI RADICAL DE GAUCHE (SOUTIEN PS),PRG,9729,O,M,BACCARELLI,JEAN FRANCOIS,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,1051,N,M,GANDOLFI-SCHEIT,SAUVEUR,UNION POUR UN MOUVEMENT POPULAIRE,UMP,12922,O,M,CARDI,ANTOINE,FRONT NATIONAL,FRN,932,N,F,GUEZ,ROSELINE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,154,N,M,GRAZIANI,JEAN,REGIONALISTES,DIV,1826,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,HAUTE-CORSE,2,60371,39952,39446,506,"66,18%",M,JOSUE,OLIVIER,LUTTE OUVRIERE,EXG,228,N,M,RIOLACCI,FRANCOIS-XAVIER,PARTI COMMUNISTE FRANCAIS,COM,1377,N,M,GIACOBBI,PAUL,PARTI RADICAL DE GAUCHE (SOUTIEN PS),PRG,15436,O,F,GRIMALDI,STEPHANIE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,16218,O,M,MARTINELLI,ELISABETH,FRONT NATIONAL,FRN,645,N,F,COLONNA D'ISTRIA,GENEVIEVE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,218,N,M,SIMEONI,GILLES,UNIONE PER UNA SULUZIONE PULITICA,DIV,5324,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,1,83134,47449,46645,804,"57,08%",F,FOURCADE,FABIENNE,PARTI DES TRAVAILLEURS,EXG,133,N,F,TERBECHE,AICHA,LUTTE OUVRIERE,EXG,146,N,F,RODRIGUEZ,TINA,GAUCHE ALTERNATIVE 2007,EXG,292,N,F,DUPLISSY,CLAUDINE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,784,N,M,CLARY,ALAIN,PARTI COMMUNISTE FRANCAIS,COM,6902,N,F,DUMAS,FRANCOISE,PARTI SOCIALISTE,SOC,8324,O,M,KARRIM,ALI,LES VERTS,ECO,977,N,F,COILLET MATILLON,LYSIANE,GENERATION ECOLOGIE,ECO,490,N,M,LACHAUD,YVAN,MAJORITE PRESIDENTIELLE - PSLE,PSLE,20891,O,M,PIGEONNEAU,GEORGES,DEBOUT LA REPUBLIQUE,DVD,129,N,M,CASAS,SIMON,DIVERS DROITE,DVD,2078,N,M,TAULELLE,MARC,MOUVEMENT POUR LA FRANCE,DVD,816,N,F,RUTY,EVELYNE,FRONT NATIONAL,FRN,3058,N,M,SERVILE,MICHEL,MOUVEMENT NATIONAL REPUBLICAIN,EXD,279,N,M,CHAYNE,GERARD,APPARENTE UDF MODEM,DIV,1028,N,F,DUMAS,ROSELYNE,LA FRANCE EN ACTION,DIV,318,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,2,114608,67363,66146,1217,"58,78%",F,ROLANDEZ,CHRISTIANE,LUTTE OUVRIERE,EXG,497,N,F,CHANIAC,MARIE-LISE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1682,N,F,GAYRAUD,MARTINE,PARTI COMMUNISTE FRANCAIS,COM,3274,N,M,CRAUSTE,ROBERT,PARTI SOCIALISTE,SOC,14592,O,F,DERIAN,CORINNE,LES VERTS,ECO,1159,N,F,RAYNAUD,MONIQUE,GENERATION ECOLOGIE,ECO,375,N,F,ABELLO,JACQUELINE,ECOLOGISTE,ECO,665,N,F,DE GIRARDI,CLAUDE,UDF - MOUVEMENT DEMOCRATE,MODEM,3700,N,M,MOURRUT,ETIENNE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,31791,O,M,DURAND,CEDRIC,MOUVEMENT POUR LA FRANCE,DVD,1165,N,M,MICLOT,JEAN,FRONT NATIONAL,FRN,5480,N,F,SERVILE,JEANINE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,547,N,F,BOCCADIFFUOCCO,SYLVIA,CHASSE PECHE NATURE TRADITIONS,DIV,861,N,M,CLEMENT,PIERRE,LA FRANCE EN ACTION,DIV,358,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,3,114080,69865,68448,1417,"61,24%",M,BENOIT,CHRISTOPHE,PARTI DES TRAVAILLEURS,EXG,353,N,F,AZAM,JOSETTE,LUTTE OUVRIERE,EXG,459,N,M,JOURLIN,PIERRE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1998,N,F,CHAMBON,MARIANNE,RASSEMBLEMENT DE LA GAUCHE ANTILIBERALE,COM,2489,N,M,PISSAS,ALEXANDRE,PARTI SOCIALISTE,SOC,16268,O,M,TASSIN,ANDRE,MOUVEMENT REPUBLICAIN ET CITOYEN,DVG,583,N,F,DHOYE,NICOLE,MOUVEMENT HOMMES-ANIMAUX-NATURE : MHAN,ECO,977,N,F,PONCE-CASANOVA,CORINNE,UDF - MOUVEMENT DEMOCRATE,MODEM,4094,N,M,ROUBAUD,JEAN-MARC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,33523,O,F,AUDIER,ANGELE,MOUVEMENT POUR LA FRANCE,DVD,16,N,M,BONNIEUX,FRANCOIS,FRONT NATIONAL,FRN,4829,N,M,MENY,GERARD,MOUVEMENT NATIONAL REPUBLICAIN,EXD,463,N,M,LOONIS,YVES,CHASSE PECHE NATURE TRADITIONS,DIV,960,N,M,RESSAIRE,JACQUES,PARTI DE LA NATION OCCITANE,DIV,176,N,M,VATON,BERNARD,PARTI OCCITAN,DIV,634,N,M,CORDRAY,CHARLES MAURICE,LA FRANCE EN ACTION,DIV,626,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,4,85477,54290,53405,885,"63,51%",M,BOT,ELIE,PARTI DES TRAVAILLEURS,EXG,272,N,F,ROCHE,MARIE-FRANCE,LUTTE OUVRIERE,EXG,405,N,M,ANGOT,DANIEL,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1425,N,M,MALAVIEILLE,PATRICK,PARTI COMMUNISTE FRANCAIS,COM,11570,O,F,VINOT,CHANTAL,PARTI SOCIALISTE,SOC,7057,N,F,BERNARD CHAMSON,BEATRICE,LES VERTS,ECO,1028,N,F,LOiS,PAULA,MOUVEMENT HOMMES-ANIMAUX-NATURE : MHAN,ECO,725,N,M,HAON,JEAN-LOUIS,UDF - MOUVEMENT DEMOCRATE,MODEM,2359,N,M,ROUSTAN,MAX,UNION POUR UN MOUVEMENT POPULAIRE,UMP,23829,O,F,PEGOUT-MARET,CHRISTINE,MOUVEMENT POUR LA FRANCE,DVD,342,N,F,VICAT,PRISCA,FRONT NATIONAL,FRN,2753,N,M,GERARD,JEAN-MARIE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,291,N,F,RAVEL,LUCILE,CHASSE PECHE NATURE TRADITIONS,DIV,732,N,F,VIELLEFON,NATHALIE,PARTI DE LA NATION OCCITANE,DIV,141,N,M,RIVET-MARTEL,VINCENT,LA FRANCE EN ACTION,DIV,344,N,F,NAGA,KHADIDJA,PARTI RACHID NEKKAZ,DIV,132,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GARD,5,93691,59784,58680,1104,"63,81%",M,BRUN,MARCEL,LUTTE OUVRIERE,EXG,391,N,M,MENARD,ROLAND,GAUCHE ALTERNATIVE 2007,EXG,1419,N,M,SALA,MICHEL,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1876,N,M,SUAU,JEAN-MICHEL,PARTI COMMUNISTE FRANCAIS,COM,5542,N,M,DUMAS,WILLIAM,PARTI SOCIALISTE,SOC,15275,O,M,CAPALDI,ANTOINE,DIVERS GAUCHE,DVG,706,N,F,JODRA,CHRISTINE,LES VERTS,ECO,1617,N,F,GRASSOR,CHRISTIANE,MOUVEMENT HOMMES-ANIMAUX-NATURE : MHAN,ECO,465,N,M,ESCATAFAL,MICHEL,UDF - MOUVEMENT DEMOCRATE,MODEM,2418,N,M,RUAS,CHRISTOPHE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,22593,O,F,FOURNIER,ARIANE,PARTI SOCIAL LIBERAL EUROPEEN,PSLE,1214,N,F,GUENOUN,EVELYNE,MOUVEMENT POUR LA FRANCE,DVD,385,N,F,SANCHEZ,SYLVIE,FRONT NATIONAL,FRN,3052,N,F,DIZIER,SEVERINE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,254,N,M,RAVEL,JEAN-BERNARD,CHASSE PECHE NATURE TRADITIONS,DIV,982,N,F,BAILLY,DARIA,LA FRANCE EN ACTION,DIV,491,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HAUTE-GARONNE,1,70421,40914,40465,449,"58,1%",M,MARTIN,HENRI,LUTTE OUVRIERE,EXG,219,N,F,LORTHOIS,SYLVIE,GAUCHE ALTERNATIVE 2007,EXG,2115,N,M,BORRAS,FREDERIC,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1275,N,F,LEMORTON,CATHERINE,PARTI SOCIALISTE,SOC,12758,O,F,GONZALEZ TRICHEUX,OLGA,MOUVEMENT REPUBLICAIN ET CITOYEN,DVG,203,N,M,LABEYRIE,PIERRE,LES VERTS,ECO,2199,N,M,TOURTEAU,WILFRID,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,306,N,M,FORGET,JEAN-LUC,UNION POUR LA DEMOCRATIE FRANCAISE,MODEM,3869,N,M,MOUDENC,JEAN-LUC,CENTRISTE MAJORITE PRESIDENTIELLE,UMP,15152,O,M,ARSAC,OLIVIER,DEBOUT LA REPUBLIQUE,DVD,302,N,M,VIALLON,THIERRY,FRONT NATIONAL,FRN,1304,N,M,DAMIN,CHRISTOPHE,CHASSE PECHE NATURE TRADITIONS,DIV,120,N,F,SOPRANI,NICOLE,PARTI HUMANISTE,DIV,5,N,M,DANCALE,CHRISTIAN,GAULLISTE MITTERANDISTE,DIV,102,N,F,HILLEREAU,PASCALE,RASSEMBLEMENT POUR INITIATIVE CITOYENNE,DIV,0,N,M,SORDES,RUDI,PARTI DES SOCIOPROFESSIONNELS,DIV,108,N,M,CLEMENCEAU,GEORGES,SANS ETIQUETTE,DIV,27,N,M,ARTEIL,MICHEL,LA FRANCE EN ACTION,DIV,401,N,,,,,,,,,,,,,,,
